0.908071,2.620094,-0.83969,0.839323,0.286569,-0.59162,Straight
0.073895,3.162931,1.309815,0.60737,0.258091,-0.17633,Straight
0.279066,4.569662,1.361351,0.547006,0.239835,-0.31396,Straight
0.405712,2.421925,-2.97103,1.430286,0.378898,-0.35755,Straight
0.523472,3.894203,2.44441,0.600389,0.358691,-0.4062,Straight
0.41839,4.36713,0.497446,0.561403,0.235285,-0.3218,Straight
-0.03215,3.613358,-1.16335,1.103778,0.329704,-0.32378,Straight
0.842911,4.315203,0.741008,0.598985,0.140812,-0.34472,Straight
1.391558,5.508438,1.727094,0.599268,0.203811,-0.24252,Straight
0.829164,2.016996,-1.50372,0.933378,0.226794,-0.28982,Straight
2.555581,4.978102,-2.21232,1.164833,0.510857,-0.54304,Cover
2.663924,6.880242,-0.02452,0.621526,0.409535,-0.48823,Cover
3.193603,7.266521,1.37101,0.898756,0.450047,-0.49974,Cover
2.649557,6.369045,2.794862,0.231245,0.383625,-0.15284,Cover
3.653427,8.28219,3.372836,0.085015,0.443587,-0.23842,Cover
3.208841,7.654483,3.232201,0.097328,0.293182,-0.09364,Cover
2.478381,6.760586,2.569222,0.184128,0.386513,0.19432,Cover
2.864577,5.878493,3.263188,0.154811,0.389672,-0.21362,Cover
2.438541,7.926563,1.157023,0.815783,0.502536,-0.49934,Cover
2.353218,7.512084,1.38261,0.425231,0.492878,-0.30353,Cover
2.307152373,8.72857,0.859218644,0.505200346,0.007550632,-0.072240644,On
2.816185263,8.377247947,1.719512105,0.543842586,0.04859557,0.062751623,On
2.386207,8.135826441,3.419721017,0.44964072,0.143145093,0.023580559,On
2.801170678,8.031042542,2.783914915,0.526705514,0.146634605,0.06808689,On
2.801170678,8.031042542,2.783914915,0.526705514,0.146634605,0.06808689,On
2.399427,8.140984,3.654554,0.489551,0.139232,0.021042,On
3.028259,8.523929,3.433402,0.368895,0.190732,-0.11139,On
1.98434,8.868793,4.729774,0.339353,0.066918,0.014787,On
1.890354,8.747337,3.259578,0.478914,0.131005,0.004587,On
2.801139,9.114865,3.620804,0.34102,0.111154,-0.06643,On
2.53766,8.219702,3.754156,0.443202,0.081432,0.050009,On
